file_type|column_name|column_type|column_length|encoding|sort_key|dist_key|null|system_column|identity_column|default_column
TBMZB_EMAIL_INTERACTIONS_tmp|source_record_id|numeric(19, 0)|NA|ZSTD|n|n|y|n|n|n
TBMZB_EMAIL_INTERACTIONS_tmp|MEMBER_ID|varchar|50|ZSTD|n|n|y|n|n|n
TBMZB_EMAIL_INTERACTIONS_tmp|PLAN_EFFECTIVE_DATE|datetime|NA|ZSTD|n|n|y|n|n|n
TBMZB_EMAIL_INTERACTIONS_tmp|HIOS_PLAN_VARIANT_ID|varchar|20|ZSTD|n|n|y|n|n|n
TBMZB_EMAIL_INTERACTIONS_tmp|RECIPIENT_ID|varchar|4000|ZSTD|n|n|y|n|n|n
TBMZB_EMAIL_INTERACTIONS_tmp|RECIPIENT_TYPE|varchar|4000|ZSTD|n|n|y|n|n|n
TBMZB_EMAIL_INTERACTIONS_tmp|MAILING_ID|varchar|4000|ZSTD|n|n|y|n|n|n
TBMZB_EMAIL_INTERACTIONS_tmp|REPORT_ID|varchar|4000|ZSTD|n|n|y|n|n|n
TBMZB_EMAIL_INTERACTIONS_tmp|CAMPAIGN_ID|varchar|4000|ZSTD|n|n|y|n|n|n
TBMZB_EMAIL_INTERACTIONS_tmp|EMAIL|varchar|4000|ZSTD|n|n|y|n|n|n
TBMZB_EMAIL_INTERACTIONS_tmp|EVENT_TYPE|varchar|4000|ZSTD|n|n|y|n|n|n
TBMZB_EMAIL_INTERACTIONS_tmp|EVENT_TIMESTAMP|datetime|NA|ZSTD|n|n|y|n|n|n
TBMZB_EMAIL_INTERACTIONS_tmp|BODY_TYPE|varchar|4000|ZSTD|n|n|y|n|n|n
TBMZB_EMAIL_INTERACTIONS_tmp|CONTENT_ID|varchar|4000|ZSTD|n|n|y|n|n|n
TBMZB_EMAIL_INTERACTIONS_tmp|CLICK_NAME|varchar|4000|ZSTD|n|n|y|n|n|n
TBMZB_EMAIL_INTERACTIONS_tmp|URL|varchar|4000|ZSTD|n|n|y|n|n|n
TBMZB_EMAIL_INTERACTIONS_tmp|CONVERSION_ACTION|varchar|4000|ZSTD|n|n|y|n|n|n
TBMZB_EMAIL_INTERACTIONS_tmp|CONVERSION_DETAIL|varchar|4000|ZSTD|n|n|y|n|n|n
TBMZB_EMAIL_INTERACTIONS_tmp|CONVERSION_AMOUNT|varchar|4000|ZSTD|n|n|y|n|n|n
TBMZB_EMAIL_INTERACTIONS_tmp|SUPPRESSION_REASON|varchar|4000|ZSTD|n|n|y|n|n|n
TBMZB_EMAIL_INTERACTIONS_tmp|MAILING_NAME|varchar|4000|ZSTD|n|n|y|n|n|n
TBMZB_EMAIL_INTERACTIONS_tmp|MAILING_SUBJECT|varchar|4000|ZSTD|n|n|y|n|n|n
TBMZB_EMAIL_INTERACTIONS_tmp|CREATED_ID|varchar|20|ZSTD|n|n|y|n|n|n
TBMZB_EMAIL_INTERACTIONS_tmp|CREATED_DT|datetime|NA|ZSTD|n|n|y|n|n|n
TBMZB_EMAIL_INTERACTIONS_tmp|UPDATED_DT|datetime|NA|ZSTD|n|n|y|n|n|n
TBMZB_EMAIL_INTERACTIONS_tmp|UPDATED_ID|varchar|20|ZSTD|n|n|y|n|n|n
TBMZB_EMAIL_INTERACTIONS_tmp|NEWSLETTER_OPTOUT|varchar|2|ZSTD|n|n|y|n|n|n
TBMZB_EMAIL_INTERACTIONS_tmp|MARKETING_OPTOUT|varchar|2|ZSTD|n|n|y|n|n|n
TBMZB_EMAIL_INTERACTIONS_tmp|SOURCE_CD|varchar|10|ZSTD|n|n|y|n|n|n
TBMZB_EMAIL_INTERACTIONS_tmp|LOAD_DT|datetime|NA|ZSTD|n|n|y|n|n|n
TBMZB_EMAIL_INTERACTIONS_tmp|JOB_ID|int|NA|ZSTD|n|n|y|n|n|n
TBMZB_EMAIL_INTERACTIONS_tmp|ACCOUNT_ID|varchar|255|ZSTD|n|n|y|n|n|n
TBMZB_EMAIL_INTERACTIONS_tmp|ACCOUNT_USER_ID|varchar|255|ZSTD|n|n|y|n|n|n
TBMZB_EMAIL_INTERACTIONS_tmp|FROM_NAME|varchar|390|ZSTD|n|n|y|n|n|n
TBMZB_EMAIL_INTERACTIONS_tmp|FROM_EMAIL|varchar|100|ZSTD|n|n|y|n|n|n
TBMZB_EMAIL_INTERACTIONS_tmp|SCHED_TIME|datetime|NA|ZSTD|n|n|y|n|n|n
TBMZB_EMAIL_INTERACTIONS_tmp|PICKUP_TIME|datetime|NA|ZSTD|n|n|y|n|n|n
TBMZB_EMAIL_INTERACTIONS_tmp|DELIVERED_TIME|datetime|NA|ZSTD|n|n|y|n|n|n
TBMZB_EMAIL_INTERACTIONS_tmp|EVENT_ID|varchar|50|ZSTD|n|n|y|n|n|n
TBMZB_EMAIL_INTERACTIONS_tmp|IS_MULTIPART|varchar|1|ZSTD|n|n|y|n|n|n
TBMZB_EMAIL_INTERACTIONS_tmp|JOB_TYPE|varchar|50|ZSTD|n|n|y|n|n|n
TBMZB_EMAIL_INTERACTIONS_tmp|JOB_STATUS|varchar|50|ZSTD|n|n|y|n|n|n
TBMZB_EMAIL_INTERACTIONS_tmp|MODIFIED_BY|int|NA|ZSTD|n|n|y|n|n|n
TBMZB_EMAIL_INTERACTIONS_tmp|MODIFIED_DATE|datetime|NA|ZSTD|n|n|y|n|n|n
TBMZB_EMAIL_INTERACTIONS_tmp|IS_WRAPPED|varchar|1|ZSTD|n|n|y|n|n|n
TBMZB_EMAIL_INTERACTIONS_tmp|TEST_EMAIL_ADDR|varchar|128|ZSTD|n|n|y|n|n|n
TBMZB_EMAIL_INTERACTIONS_tmp|CATEGORY|varchar|100|ZSTD|n|n|y|n|n|n
TBMZB_EMAIL_INTERACTIONS_tmp|BCC_EMAIL|varchar|100|ZSTD|n|n|y|n|n|n
TBMZB_EMAIL_INTERACTIONS_tmp|ORIGINAL_SCHED_TIME|datetime|NA|ZSTD|n|n|y|n|n|n
TBMZB_EMAIL_INTERACTIONS_tmp|CREATED_DATE|datetime|NA|ZSTD|n|n|y|n|n|n
TBMZB_EMAIL_INTERACTIONS_tmp|CHARACTER_SET|varchar|30|ZSTD|n|n|y|n|n|n
TBMZB_EMAIL_INTERACTIONS_tmp|IP_ADDRESS|varchar|50|ZSTD|n|n|y|n|n|n
TBMZB_EMAIL_INTERACTIONS_tmp|SF_TOTAL_SUBSCRIBER_COUNT|int|NA|ZSTD|n|n|y|n|n|n
TBMZB_EMAIL_INTERACTIONS_tmp|SF_ERROR_SUBSCRIBER_COUNT|int|NA|ZSTD|n|n|y|n|n|n
TBMZB_EMAIL_INTERACTIONS_tmp|SEND_TYPE|varchar|128|ZSTD|n|n|y|n|n|n
TBMZB_EMAIL_INTERACTIONS_tmp|DYNAMIC_EMAIL_SUBJECT|varchar|200|ZSTD|n|n|y|n|n|n
TBMZB_EMAIL_INTERACTIONS_tmp|SUPPRESS_TRACKING|varchar|1|ZSTD|n|n|y|n|n|n
TBMZB_EMAIL_INTERACTIONS_tmp|SEND_CLASSIFICATION_TYPE|varchar|32|ZSTD|n|n|y|n|n|n
TBMZB_EMAIL_INTERACTIONS_tmp|SEND_CLASSIFICATION|varchar|36|ZSTD|n|n|y|n|n|n
TBMZB_EMAIL_INTERACTIONS_tmp|RESOLVE_LINK_WITH_CURRENT_DATA|varchar|1|ZSTD|n|n|y|n|n|n
TBMZB_EMAIL_INTERACTIONS_tmp|EMAIL_SEND_DEFINITION|varchar|36|ZSTD|n|n|y|n|n|n
TBMZB_EMAIL_INTERACTIONS_tmp|DEDUPLICATE_BY_EMAIL|varchar|1|ZSTD|n|n|y|n|n|n
TBMZB_EMAIL_INTERACTIONS_tmp|TRIGGERED_SEND_DEFNTN_OBJ_ID|varchar|36|ZSTD|n|n|y|n|n|n
TBMZB_EMAIL_INTERACTIONS_tmp|TRIGGERED_SEND_CUSTOMER_KEY|varchar|36|ZSTD|n|n|y|n|n|n
TBMZB_EMAIL_INTERACTIONS_tmp|BOUNCE_CATEGORY_ID|int|NA|ZSTD|n|n|y|n|n|n
TBMZB_EMAIL_INTERACTIONS_tmp|BOUNCE_CATEGORY|varchar|50|ZSTD|n|n|y|n|n|n
TBMZB_EMAIL_INTERACTIONS_tmp|BOUNCE_SUBCATEGORY_ID|int|NA|ZSTD|n|n|y|n|n|n
TBMZB_EMAIL_INTERACTIONS_tmp|BOUNCE_SUBCATEGORY|varchar|50|ZSTD|n|n|y|n|n|n
TBMZB_EMAIL_INTERACTIONS_tmp|BOUNCE_TYPE_ID|int|NA|ZSTD|n|n|y|n|n|n
TBMZB_EMAIL_INTERACTIONS_tmp|BOUNCE_TYPE|varchar|50|ZSTD|n|n|y|n|n|n
TBMZB_EMAIL_INTERACTIONS_tmp|SMTP_BOUNCE_REASON|varchar|4000|ZSTD|n|n|y|n|n|n
TBMZB_EMAIL_INTERACTIONS_tmp|SMTP_MESSAGE|varchar|4000|ZSTD|n|n|y|n|n|n
TBMZB_EMAIL_INTERACTIONS_tmp|SMTP_CODE|int|NA|ZSTD|n|n|y|n|n|n
TBMZB_EMAIL_INTERACTIONS_tmp|DOMAIN|varchar|128|ZSTD|n|n|y|n|n|n
TBMZB_EMAIL_INTERACTIONS_tmp|LINK_CONTENT|varchar|4000|ZSTD|n|n|y|n|n|n
